player_name,player_id
Stephen Curry,curryst01
Nikola Jokic,jokicni01
James Harden,hardeja01
Chris Paul,paulch01
Draymond Green,greendr01
Paul George,georgpa01
Kevin Durant,duranke01
Kawhi Leonard,leonaka01
Anthony Davis,davisan02
LeBron James,jamesle01
Jimmy Butler,butleji01
Russell Westbrook,westbru01
Kevin Love,loveke01
Damian Lillard,lillada01
Jayson Tatum,tatumja01
Rudy Gobert,goberru01
Joel Embiid,embiijo01
Victor Oladipo,oladivi01
Joakim Noah,noahjo01
Kyle Lowry,lowryky01
Kemba Walker,walkeke02
Giannis Antetokounmpo,antetgi01
Mike Conley,conlemi01
Jrue Holiday,holidjr01
Kyrie Irving,irvinky01
Goran Dragic,dragigo01
Bradley Beal,bealbr01
Danny Green,greenda02
DeAndre Jordan,jordade01
Karl-Anthony Towns,townska01
Klay Thompson,thompkl01
Nikola Vucevic,vucevni01
Jusuf Nurkic,nurkiju01
Luka Doncic,doncilu01
Dirk Nowitzki,nowitdi01
DeMarcus Cousins,couside01
Robert Covington,covinro01
Trae Young,youngtr01
Carmelo Anthony,anthoca01
Isaiah Thomas,thomais02
Eric Bledsoe,bledser01
Blake Griffin,griffbl01
Fred VanVleet,vanvlfr01
John Wall,walljo01
Marc Gasol,gasolma01
Kyle Korver,korveky01
Khris Middleton,middlkh01
Andre Drummond,drumman01
Devin Booker,bookede01
Ben Simmons,simmobe01
Darius Garland,garlada01
Otto Porter Jr.,porteot01
LaMarcus Aldridge,aldrila01
Steven Adams,adamsst01
Ricky Rubio,rubiori01
Clint Capela,capelca01
Gordon Hayward,haywago01
CJ McCollum,mccolcj01
Julius Randle,randlju01
Al Horford,horfoal01
Danilo Gallinari,gallida01
JJ Redick,redicjj01
Mikal Bridges,bridgmi01
Wesley Matthews,matthwe02
Mario Chalmers,chalmma01
Derrick White,whitede01
Paul Millsap,millspa01
Robin Lopez,lopezro01
Kentavious Caldwell-Pope,caldwke01
Marvin Williams,willima02
Marcin Gortat,gortama01
Pascal Siakam,siakapa01
DeMarre Carroll,carrode01
Terry Rozier,roziete01
Nicolas Batum,batumni01
Marcus Smart,smartma01
Domantas Sabonis,sabondo01
DeMar DeRozan,derozde01
Joe Ingles,inglejo01
Dejounte Murray,murrade01
Lou Williams,willilo02
Trevor Ariza,arizatr01
Desmond Bane,banede01
Patrick Beverley,beverpa01
Tim Duncan,duncati01
Andre Iguodala,iguodan01
Pau Gasol,gasolpa01
Jakob Poeltl,poeltja01
Darren Collison,collida01
Donovan Mitchell,mitchdo01
Josh Richardson,richajo01
Tristan Thompson,thomptr01
Ty Lawson,lawsoty01
Zach Randolph,randoza01
Chandler Parsons,parsoch01
Derrick Favors,favorde01
Jarrett Allen,allenja01
Miles Bridges,bridgmi02
Brook Lopez,lopezbr01
Rudy Gay,gayru01
Manu Ginobili,ginobma01
George Hill,hillge01
Thaddeus Young,youngth01
Kristaps Porzingis,porzikr01
Serge Ibaka,ibakase01
Montrezl Harrell,harremo01
Jaylen Brown,brownja02
Anderson Varejao,varejan01
Tyson Chandler,chandty01
Deron Williams,willide01
Jeff Teague,teaguje01
Jeremy Lamb,lambje01
D'Angelo Russell,russeda01
David West,westda01
Alec Burks,burksal01
Jae Crowder,crowdja01
Hassan Whiteside,whiteha01
Tyrese Haliburton,halibty01
Bam Adebayo,adebaba01
LaMelo Ball,ballla01
Spencer Dinwiddie,dinwisp01
Channing Frye,fryech01
Immanuel Quickley,quickim01
Duncan Robinson,robindu01
Zion Williamson,willizi01
Tony Allen,allento01
Tobias Harris,harrito02
De'Aaron Fox,foxde01
James Johnson,johnsja01
Andre Roberson,roberan03
Patty Mills,millspa02
Nikola Mirotic,mirotni01
Monta Ellis,ellismo01
Malcolm Brogdon,brogdma01
Dwight Howard,howardw01
Gary Harris,harriga01
Vince Carter,cartevi01
PJ Tucker,tuckepj01
Jalen Brunson,brunsja01
Anthony Edwards,edwaran01
Ja Morant,moranja01
Kyle Anderson,anderky01
Michael Kidd-Gilchrist,kiddgmi01
Buddy Hield,hieldbu01
Roy Hibbert,hibbero01
Jamal Murray,murraja01
Luol Deng,denglu01
Joe Harris,harrijo01
Eric Gordon,gordoer01
Monte Morris,morrimo01
Tyreke Evans,evansty01
Jordan Clarkson,clarkjo01
Andrew Wiggins,wiggian01
Amir Johnson,johnsam01
Zach LaVine,lavinza01
Ersan Ilyasova,ilyaser01
Tim Hardaway Jr.,hardati02
Myles Turner,turnemy01
Mitchell Robinson,robinmi01
Reggie Jackson,jacksre01
Andrew Bogut,bogutan01
Jared Dudley,dudleja01
Dwight Powell,poweldw01
Davis Bertans,bertada01
Royce O'Neale,onealro01
Al Jefferson,jeffeal01
Robert Williams III,williro04
Ryan Anderson,anderry01
Will Barton,bartowi01
John Collins,collijo01
Tyler Johnson,johnsty01
Matt Barnes,barnema02
Garrison Mathews,mathega01
Nikola Pekovic,pekovni01
David Lee,leeda02
